cluster_a	cluster_b	odds_ratio	p_value	jaccard	p_adj
730	126	0	0.171360724162837	0	0.222519720667605
730	939	0	0.171360724162837	0	0.222519720667605
730	1581	0	0.168608156376269	0	0.222519720667605
2330	1521	0	0.171576655235412	0	0.222519720667605
2330	126	0	0.170445651366708	0	0.222519720667605
2330	939	0	0.170445651366708	0	0.222519720667605
1679	1581	0	0.176759412852272	0	0.223895256279545
1251	1532	0.275843407873017	0.253508753583363	0.00540540540540541	0.301733105169653
1679	1532	0	0.274300648727031	0	0.301733105169653
1625	1222	0	0.269822394274788	0	0.301733105169653
1625	1532	0	0.266958609678557	0	0.301733105169653
730	1370	0	0.27395279716914	0	0.301733105169653
730	2107	0	0.27395279716914	0	0.301733105169653
730	1222	0	0.260622273067815	0	0.301733105169653
2330	1581	0	0.274735932601842	0	0.301733105169653
2330	2107	0	0.271690214672723	0	0.301733105169653
2330	1222	0	0.259936597405719	0	0.301733105169653
2330	1532	0	0.259176070313104	0	0.301733105169653
1521	126	0	0.264089335218703	0	0.301733105169653
1521	939	0	0.264089335218703	0	0.301733105169653
1521	1581	0	0.259249915650696	0	0.301733105169653
1521	1370	0	0.259085286762674	0	0.301733105169653
1521	2107	0	0.259085286762674	0	0.301733105169653
126	939	0	0.262634503486035	0	0.301733105169653
126	1581	0	0.259100720720926	0	0.301733105169653
126	1370	0	0.259193221642056	0	0.301733105169653
126	2107	0	0.259193221642056	0	0.301733105169653
939	1581	0	0.259100720720926	0	0.301733105169653
939	1370	0	0.259193221642056	0	0.301733105169653
939	2107	0	0.259193221642056	0	0.301733105169653
1521	1222	0	0.407820319749448	0	0.415984617959912
1521	1532	0	0.405725106332139	0	0.415984617959912
126	1222	0	0.40615069655753	0	0.415984617959912
126	1532	0	0.404313163805987	0	0.415984617959912
939	1222	0	0.40615069655753	0	0.415984617959912
939	1532	0	0.404313163805987	0	0.415984617959912
1581	1370	0	0.409416439781597	0	0.415984617959912
1581	2107	0	0.409416439781597	0	0.415984617959912
1581	1222	0	0.400669425335722	0	0.415984617959912
1370	2107	0	0.407389008919493	0	0.415984617959912
1370	1222	0	0.4001949835642	0	0.415984617959912
1370	1532	0	0.399915052312834	0	0.415984617959912
2107	1222	0	0.4001949835642	0	0.415984617959912
2107	1532	0	0.399915052312834	0	0.415984617959912
1251	1222	0.555736057400093	0.5769910418722	0.0108108108108108	0.583129244445309
1222	1532	0	0.636623179638609	0	0.639991556250454
1251	730	0.75805993521068	0.815461941644957	0.0192307692307692	0.815461941644957
