cluster_a	cluster_b	odds_ratio	p_value	jaccard	p_adj
383	1124	0	0.269369431385033	0	0.379112533060416
383	241	0	0.259777344552717	0	0.379112533060416
1244	712	0	0.268594035498592	0	0.379112533060416
1244	1124	0	0.261555649362862	0	0.379112533060416
1244	241	0	0.258269389340888	0	0.379112533060416
500	504	0	0.266375614729255	0	0.379112533060416
500	725	0	0.266375614729255	0	0.379112533060416
500	516	0	0.261277830573019	0	0.379112533060416
500	200	0	0.258917769424333	0	0.379112533060416
389	504	0	0.261045952149152	0	0.379112533060416
389	725	0	0.261045952149152	0	0.379112533060416
389	516	0	0.259092290130113	0	0.379112533060416
1282	725	0	0.259627675181178	0	0.379112533060416
389	1282	0	0.275064790113449	0	0.384281692070259
511	200	1.43145955148515	0.315615996407469	0.0297619047619048	0.437715615455614
500	892	0	0.410346690264972	0	0.507308347621254
500	1124	0	0.410346690264972	0	0.507308347621254
389	200	0	0.413856809901549	0	0.507308347621254
389	712	0	0.410996751075551	0	0.507308347621254
389	892	0	0.404168838990505	0	0.507308347621254
389	241	0	0.399720148133187	0	0.507308347621254
1282	200	0	0.409665482598789	0	0.507308347621254
1282	712	0	0.407313804457473	0	0.507308347621254
1282	892	0	0.402032336433697	0	0.507308347621254
1282	1124	0	0.402032336433697	0	0.507308347621254
1282	241	0	0.399663615353045	0	0.507308347621254
504	725	0	0.4116987845913	0	0.507308347621254
504	200	0	0.400669425335722	0	0.507308347621254
504	712	0	0.400129864105363	0	0.507308347621254
725	516	0	0.405519315749033	0	0.507308347621254
725	200	0	0.400669425335722	0	0.507308347621254
725	712	0	0.400129864105363	0	0.507308347621254
516	200	0	0.399925426288985	0	0.507308347621254
500	712	0	0.42021813687157	0	0.511804141061527
1244	200	1.4479715431012	0.470244007090058	0.0227272727272727	0.569085104121726
1158	1262	0.925110277713772	0.504610628884578	0.157342657342657	0.606810249924493
383	504	0.367162401471608	0.516295516887307	0.00680272108843537	0.616956906972254
511	892	0.686485598384121	0.534895528383672	0.0148367952522255	0.635188439955611
1158	1124	0.807404011585287	0.554073787246086	0.0201484623541888	0.653875897992275
161	389	0.839150315164334	0.585456803220438	0.0271132376395534	0.680505873012309
504	892	0	0.644689774432714	0	0.680505873012309
504	1124	0	0.644689774432714	0	0.680505873012309
504	241	0	0.634297215481032	0	0.680505873012309
725	892	0	0.644689774432714	0	0.680505873012309
725	1124	0	0.644689774432714	0	0.680505873012309
725	241	0	0.634297215481032	0	0.680505873012309
516	892	0	0.638092937288814	0	0.680505873012309
516	1124	0	0.638092937288814	0	0.680505873012309
516	241	0	0.629841576511678	0	0.680505873012309
200	712	0	0.636623179638609	0	0.680505873012309
200	892	0	0.630907007532891	0	0.680505873012309
200	1124	0	0.630907007532891	0	0.680505873012309
200	241	0	0.625636876441726	0	0.680505873012309
712	1124	0	0.629442938284458	0	0.680505873012309
712	241	0	0.624936144583213	0	0.680505873012309
892	1124	0	0.625967449041892	0	0.680505873012309
892	241	0	0.623780823064621	0	0.680505873012309
1124	241	0	0.623780823064621	0	0.680505873012309
1244	892	0.492257007695821	0.720150153453143	0.00769230769230769	0.755958724619321
1244	725	1.25909799481031	0.73276915451213	0.0215827338129496	0.764978787677499
383	1282	1.03280628588785	0.765906258267513	0.0197368421052632	0.795203218966271
1262	712	0.97744970918304	1	0.022271714922049	1
383	200	0.867401352082048	1	0.0143884892086331	1
383	712	0.885938314237888	1	0.0144927536231884	1
383	892	0.946489362725319	1	0.0148148148148148	1
1244	1282	0.720957020386911	1	0.0136054421768707	1
1244	504	0.814094761287095	1	0.0142857142857143	1
389	1124	0.624617452409417	1	0.00884955752212389	1
